;loss
0;0.31329089403152466
1;0.26510027050971985
2;0.23610633611679077
3;0.24274609982967377
4;0.2173013836145401
5;0.20827770233154297
6;0.2058780938386917
7;0.18395042419433594
8;0.17784787714481354
9;0.1578044891357422
10;0.15924304723739624
11;0.149844229221344
12;0.14190036058425903
13;0.14091861248016357
14;0.13539405167102814
15;0.12988300621509552
16;0.12732566893100739
17;0.12389127910137177
18;0.11675414443016052
19;0.11131609976291656
20;0.11676505208015442
21;0.11373920738697052
22;0.1083720475435257
23;0.11289816349744797
24;0.10571698844432831
25;0.10625657439231873
26;0.10622592270374298
27;0.10789801925420761
28;0.10565944761037827
29;0.10608331114053726
30;0.10542229562997818
31;0.10464362055063248
32;0.10712269693613052
33;0.0975632593035698
34;0.10257235914468765
35;0.10117185115814209
36;0.10022541880607605
37;0.0963781476020813
38;0.09147472679615021
39;0.0944923534989357
40;0.08577439934015274
41;0.09002600610256195
42;0.09492633491754532
43;0.09147291630506516
44;0.08958125114440918
45;0.08974432945251465
46;0.0876365453004837
47;0.08855771273374557
48;0.08514322340488434
49;0.08466065675020218
50;0.08870557695627213
51;0.08551082015037537
52;0.08898601680994034
53;0.07897695153951645
54;0.08376816660165787
55;0.08464562147855759
56;0.08271221071481705
57;0.08373136818408966
58;0.08117934316396713
59;0.08004005998373032
60;0.08217513561248779
61;0.08262193202972412
62;0.08294781297445297
63;0.08142507076263428
64;0.07554881274700165
65;0.07789679616689682
66;0.07704882323741913
67;0.07217481732368469
68;0.07656069099903107
69;0.08060174435377121
70;0.07558690011501312
71;0.07732204347848892
72;0.07778696715831757
73;0.07497924566268921
74;0.0726233422756195
75;0.0709921270608902
76;0.0736306831240654
77;0.06855040788650513
78;0.07096168398857117
79;0.07156859338283539
80;0.06976110488176346
81;0.07155841588973999
82;0.06870509684085846
83;0.06685895472764969
84;0.06695419549942017
85;0.06923213601112366
86;0.0653386041522026
87;0.06918364018201828
88;0.06667014956474304
89;0.06785883754491806
90;0.06237556040287018
91;0.06366131454706192
92;0.06463252007961273
93;0.06219351664185524
94;0.06598594784736633
95;0.06512012332677841
96;0.06485465914011002
97;0.06339281052350998
98;0.06074731424450874
99;0.06266079097986221
100;0.060045287013053894
101;0.059341780841350555
102;0.062131889164447784
103;0.060902513563632965
104;0.054048679769039154
105;0.05828523635864258
106;0.058626849204301834
107;0.05314113572239876
108;0.056279852986335754
109;0.05655163154006004
110;0.05500182881951332
111;0.0505526177585125
112;0.05146333575248718
113;0.054206766188144684
114;0.05608590692281723
115;0.049735523760318756
116;0.05127006024122238
117;0.05406464636325836
118;0.05121776461601257
119;0.053404372185468674
120;0.05298079550266266
121;0.050538111478090286
122;0.049917832016944885
123;0.04907628893852234
124;0.04870005324482918
125;0.048718348145484924
126;0.04846721515059471
127;0.04789767041802406
128;0.04677122086286545
129;0.047983843833208084
130;0.05066164582967758
131;0.050364069640636444
132;0.049410656094551086
133;0.04754538834095001
134;0.04600544273853302
135;0.04946799948811531
136;0.045625463128089905
137;0.044745683670043945
138;0.04936809092760086
139;0.044079527258872986
140;0.04236859083175659
141;0.04119443520903587
142;0.04144404083490372
143;0.04411647841334343
144;0.04131611809134483
145;0.042991142719984055
146;0.042891886085271835
147;0.04399596154689789
148;0.043918125331401825
149;0.045126400887966156
150;0.042359814047813416
151;0.04010125994682312
152;0.04149368405342102
153;0.04140108451247215
154;0.04194217920303345
155;0.040430739521980286
156;0.04398646205663681
157;0.041041355580091476
158;0.039093807339668274
159;0.042190585285425186
160;0.04226480796933174
161;0.04153740033507347
162;0.03989153355360031
163;0.04177501052618027
164;0.037526510655879974
165;0.04046141356229782
166;0.03957565501332283
167;0.041552793234586716
168;0.040687195956707
169;0.04210721328854561
170;0.040713533759117126
171;0.039953090250492096
172;0.04092436656355858
173;0.04038749262690544
174;0.03791102021932602
175;0.038034066557884216
176;0.038871873170137405
177;0.04084700345993042
178;0.0386822409927845
179;0.03830885887145996
180;0.03787410259246826
181;0.03866874799132347
182;0.03724147379398346
183;0.036186084151268005
184;0.04057224094867706
185;0.03614353388547897
186;0.03925662860274315
187;0.03817349672317505
188;0.036315564066171646
189;0.0391324907541275
190;0.037431150674819946
191;0.03756123036146164
192;0.03804977610707283
193;0.035409506410360336
194;0.038274575024843216
195;0.03618837147951126
196;0.034498754888772964
197;0.03696543723344803
198;0.03726063668727875
199;0.034959714859724045
200;0.03292137384414673
201;0.035377874970436096
202;0.037353213876485825
203;0.03540191799402237
204;0.04022131487727165
205;0.03819781169295311
206;0.035567156970500946
207;0.03356340900063515
208;0.03577665984630585
209;0.03497790917754173
210;0.03534429147839546
211;0.03270668163895607
212;0.034720100462436676
213;0.03642774373292923
214;0.034410689026117325
215;0.040388014167547226
216;0.03344788774847984
217;0.03649669140577316
218;0.03199391067028046
219;0.03586984798312187
220;0.03348790481686592
221;0.0391576923429966
222;0.03310280665755272
223;0.03454147279262543
224;0.03239366412162781
225;0.03412254899740219
226;0.03330344706773758
227;0.03294171392917633
228;0.03348226472735405
229;0.03302612528204918
230;0.030983109027147293
231;0.03411927819252014
232;0.03233207017183304
233;0.03249882161617279
234;0.035959720611572266
235;0.03429558873176575
236;0.030806658789515495
237;0.03448566049337387
238;0.03239571303129196
239;0.03424471616744995
240;0.032141029834747314
241;0.031854964792728424
242;0.034451887011528015
243;0.033774763345718384
244;0.03124161809682846
245;0.03161441907286644
246;0.03066563606262207
247;0.031181510537862778
248;0.030659208074212074
249;0.032321054488420486
250;0.03244098648428917
251;0.030740994960069656
252;0.03308338299393654
253;0.032997116446495056
254;0.03304963931441307
255;0.03041001409292221
256;0.033744584769010544
257;0.028900694102048874
258;0.03151346370577812
259;0.030770884826779366
260;0.02959645912051201
261;0.029991168528795242
262;0.029207706451416016
263;0.03264664486050606
264;0.031173743307590485
265;0.03374237194657326
266;0.03017711266875267
267;0.030086180195212364
268;0.02933674305677414
269;0.03251237794756889
270;0.03420467674732208
271;0.032364048063755035
272;0.03143437206745148
273;0.030830906704068184
274;0.028813278302550316
275;0.029181065037846565
276;0.029761547222733498
277;0.029903598129749298
278;0.028682829812169075
279;0.028577029705047607
280;0.027935124933719635
281;0.03198878467082977
282;0.026990342885255814
283;0.030164357274770737
284;0.03003605268895626
285;0.028306569904088974
286;0.029985200613737106
287;0.030729494988918304
288;0.029893487691879272
289;0.026750439777970314
290;0.030995143577456474
291;0.02970452606678009
292;0.0277557410299778
293;0.030216824263334274
294;0.028652764856815338
295;0.029806476086378098
296;0.029019922018051147
297;0.029015149921178818
